data,Id_1,Id_2,Id_3,Id_4,Id_5,Id_6,Id_7,Id_8,Id_9,Id_10
2015-04-16,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-04-30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-21,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-28,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-04,119,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-11,275,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-18,125,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-25,123,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-03,319,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-10,492,NA,-1,NA,NA,-1,NA,NA,NA,NA
2015-07-17,424,NA,0,253,NA,5,NA,NA,NA,NA
2015-07-23,209,-1,20,167,NA,215,NA,NA,NA,NA
2015-07-30,71,NA,0,6,0,44,NA,NA,NA,NA
2015-08-06,270,162,28,12,95,140,-1,NA,NA,NA
2015-08-13,53,NA,203,NA,202,235,NA,NA,NA,NA
2015-08-20,69,NA,10,NA,132,260,NA,-1,NA,-1
2015-08-27,106,NA,38,NA,34,297,83,51,NA,43
2015-09-03,156,233,NA,192,NA,315,55,245,NA,47
2015-09-10,181,24,NA,NA,NA,255,1,68,NA,29
